ID,Amount.Requested,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance
98029,3200,17.27%,36 months,8.36%,MORTGAGE,2500,670,7,6619
95579,12725,11.14%,36 months,22.15%,RENT,4416.67,720,23,4079
4868,5500,19.13%,36 months,3.58%,RENT,12000,660,2,0
26822,15650,21.74%,36 months,13.86%,RENT,3700,660,5,10605
98445,9000,17.27%,36 months,25.22%,RENT,5166.67,675,14,5852
14958,5000,11.86%,36 months,4%,RENT,5577,715,3,1069
14754,3000,10.38%,36 months,15.21%,RENT,3083.33,710,11,3098
34501,20000,23.91%,60 months,9.47%,MORTGAGE,11250,670,5,11168
26888,5450,7.49%,60 months,2.48%,MORTGAGE,4600,785,14,4326
81759,14000,12.12%,36 months,11.38%,MORTGAGE,4500,705,22,18583
10825,8800,10.38%,60 months,21.59%,RENT,3750,750,11,18694
16667,3000,17.44%,36 months,15.79%,RENT,7952,660,4,12578
92046,32000,17.27%,60 months,15.61%,RENT,9250,700,15,32566
88279,22250,21.49%,60 months,28.87%,RENT,4166.67,665,15,14107
17218,7325,17.80%,60 months,20.37%,OWN,3000,680,6,13583
82406,16450,11.14%,36 months,7.57%,RENT,7500,725,5,2928
17143,2500,12.98%,36 months,16.45%,RENT,1100,670,6,5019
27486,6000,9.99%,36 months,7.50%,MORTGAGE,2625,715,4,5167
96613,27575,14.33%,36 months,19.63%,MORTGAGE,5166.67,690,6,8720
6263,1000,8.59%,36 months,10.69%,OWN,4583.33,755,22,17069
29283,12000,11.49%,36 months,12.85%,RENT,2708.33,705,8,12150
99766,30000,10.16%,36 months,22.21%,MORTGAGE,8000,715,14,33218
85893,13500,14.33%,.,31.70%,RENT,4166.67,680,11,31168
98972,9000,15.80%,36 months,22.65%,MORTGAGE,3250,665,9,16480
44054,15000,9.91%,36 months,9.16%,MORTGAGE,4250,730,11,11615
51948,5300,7.90%,36 months,12.82%,RENT,5500,725,8,9996
48676,7000,13.11%,36 months,16.76%,RENT,3650,685,12,6444
82294,20000,16.29%,36 months,11.85%,RENT,9166.67,685,10,12421
20328,15000,18.25%,60 months,13.65%,RENT,2916.67,705,4,12786
71489,8000,14.09%,36 months,12.06%,RENT,5000,695,10,.
43203,24000,19.03%,60 months,3.63%,RENT,7500,695,6,8568
48319,7500,8.90%,36 months,10.02%,RENT,5500,715,9,2382
5367,17000,11.83%,36 months,12.70%,RENT,4583.33,735,5,3644
83768,12000,17.27%,36 months,14.86%,OWN,4583.33,665,12,9145
88084,6000,15.31%,36 months,15.91%,RENT,3833.33,670,11,5760
101540,6725,13.12%,36 months,13.16%,MORTGAGE,5000,670,10,5513
9664,4500,6.76%,36 months,14.74%,MORTGAGE,2666.67,790,7,2705
1494,1600,10.83%,36 months,5.36%,RENT,2427,700,5,7020
61703,10000,17.77%,36 months,30.40%,OWN,2500,665,5,8379
61576,18550,7.90%,36 months,16.93%,MORTGAGE,5416.67,725,10,28877
21993,7450,13.06%,36 months,3.30%,MORTGAGE,5883.33,710,2,6416
58359,3225,7.62%,36 months,17.79%,MORTGAGE,5833.33,760,5,70323
67335,23675,17.77%,36 months,29.94%,OWN,6399,680,21,21920
57080,12000,12.12%,36 months,18.62%,RENT,5833.33,690,16,18838
30035,25000,16.49%,36 months,18.18%,RENT,6000,695,9,10630
103948,16000,11.12%,36 months,17.86%,MORTGAGE,6666.67,725,7,18659
96659,4200,8.90%,36 months,10.16%,MORTGAGE,3041.67,810,4,1548
67158,10000,14.09%,36 months,21.45%,RENT,4583.33,675,11,8548
33777,6000,7.51%,36 months,2.52%,MORTGAGE,4800,750,.,1442
59724,6000,13.11%,36 months,15.33%,RENT,3333.33,685,7,12503
95096,7925,16.29%,36 months,21.25%,RENT,2000,665,6,7840
67629,16000,7.62%,36 months,6.48%,MORTGAGE,6000,765,8,19539
51929,9525,15.81%,36 months,11.35%,RENT,2666.67,670,15,5610
13216,6000,14.35%,36 months,14.08%,MORTGAGE,2500,675,9,3621
103405,10000,14.96%,36 months,11.50%,MORTGAGE,5250,675,4,3035
53271,7000,6.62%,36 months,8.03%,MORTGAGE,10000,750,9,6761
25380,4500,5.99%,36 months,18.48%,MORTGAGE,10000,765,18,17863
6987,12000,11.14%,36 months,2.37%,MORTGAGE,12500,735,13,10944
96413,10375,19.72%,36 months,4.99%,RENT,4166.67,665,9,6122
88273,4800,18.75%,36 months,10.89%,MORTGAGE,5833.33,670,NA,17943
48519,6400,13.11%,36 months,11.46%,MORTGAGE,4666.67,700,7,8942
69456,5000,7.90%,36 months,17.22%,OWN,4000,705,10,6023
41198,12000,6.62%,36 months,21.66%,RENT,5250,740,11,20639
44282,23850,21.48%,60 months,18.75%,MORTGAGE,4250,690,23,37251
34122,15000,10.65%,36 months,16.15%,MORTGAGE,7083.33,720,14,338
84563,8000,7.62%,36 months,0%,MORTGAGE,3500,765,7,0
98634,20000,6.03%,36 months,18.67%,MORTGAGE,14583.33,715,9,29044
73526,20000,13.11%,36 months,15.09%,RENT,8233.33,710,17,29756
82476,10000,14.09%,36 months,10.59%,RENT,2916.67,690,9,10390
67263,18825,14.09%,36 months,13.08%,RENT,4000,710,6,20694
41267,35000,7.90%,36 months,1.59%,RENT,18333.33,775,10,1992
64884,9000,6.03%,36 months,5.58%,MORTGAGE,9583.33,815,11,675
18452,4000,6.17%,36 months,15%,RENT,4234,745,5,587
57866,5750,13.99%,36 months,12.44%,RENT,5000,660,13,12465
77151,20950,15.80%,36 months,15.71%,MORTGAGE,12916.67,690,8,30188
25405,8000,10.99%,36 months,14.76%,RENT,7500,710,9,7120
85644,10000,10.16%,36 months,9.30%,MORTGAGE,3333.33,725,8,8940
85686,10000,14.09%,36 months,14.76%,RENT,5000,675,7,4762
54649,14000,6.03%,36 months,19.53%,MORTGAGE,6000,765,13,4140
19069,5000,7.66%,36 months,3.33%,RENT,9000,735,3,12297
74479,25000,19.05%,60 months,10.53%,MORTGAGE,6250,700,8,15159
76693,35000,8.90%,36 months,14.62%,RENT,10416.67,735,9,21321
63266,7200,11.14%,36 months,27.89%,MORTGAGE,3750,690,8,20342
32008,14000,8.49%,60 months,9.89%,MORTGAGE,9000,760,17,23773
13996,15000,15.21%,36 months,19.10%,RENT,5132,680,4,34044
80638,25000,19.72%,60 months,32.10%,OWN,4916.67,695,21,35208
36889,10800,14.65%,36 months,7.89%,RENT,9583.33,675,6,6487
72169,20000,14.33%,36 months,21.44%,MORTGAGE,6250,700,9,14268
19548,4000,10.74%,36 months,1.97%,RENT,2900,695,13,1869
103357,16000,15.70%,36 months,23.51%,MORTGAGE,9333.33,675,20,12721
59117,1400,9.76%,36 months,27.14%,MORTGAGE,4683.33,730,6,6466
15427,7500,16.32%,36 months,12.54%,MORTGAGE,4600,665,3,6120
224,24625,14.07%,36 months,12.81%,MORTGAGE,10000,675,14,33698
85618,5000,14.09%,36 months,29.02%,MORTGAGE,5416.67,680,11,3977
43436,25000,9.91%,36 months,20.49%,RENT,7916.67,725,14,27203
19328,7500,16.40%,36 months,13.34%,RENT,4166.67,660,8,7430
65134,34500,6.62%,36 months,16.46%,MORTGAGE,10000,805,.,5317
20263,10000,5.79%,36 months,6.49%,MORTGAGE,12500,745,17,75629
9194,3200,9.88%,36 months,6.51%,RENT,4500,740,7,3198
27520,5500,15.99%,60 months,17.95%,RENT,4250,700,16,13256
45941,3000,9.76%,36 months,21.82%,OWN,1100,720,4,2413
69242,18000,23.28%,60 months,9.05%,RENT,7083.33,660,6,13106
2633,10000,9.63%,36 months,13.77%,MORTGAGE,4190,735,6,1251
48662,8800,13.11%,36 months,16.73%,RENT,3150.25,700,13,14266
65775,7000,11.14%,36 months,23.02%,MORTGAGE,6000,705,17,19634
92773,8000,13.11%,36 months,19.01%,RENT,2625,725,8,7554
33161,3000,17.27%,36 months,16.62%,RENT,3833.33,660,4,4136
37985,12000,7.51%,36 months,11.91%,RENT,7500,735,18,33702
2791,3600,14.11%,36 months,0.04%,RENT,2500,725,4,1
81950,11625,14.33%,36 months,22.84%,MORTGAGE,2833.33,705,6,27411
84215,30000,21.49%,36 months,16.70%,MORTGAGE,12500,670,14,19096
93352,16000,8.90%,36 months,19.71%,RENT,7083.33,720,11,6185
10474,10800,10.75%,36 months,15.32%,MORTGAGE,8400,715,6,24675
15717,25000,16.69%,60 months,14.11%,MORTGAGE,7666.67,705,15,28748
103874,10000,13.98%,60 months,14.86%,RENT,3916.67,710,9,5188
132,12375,10.91%,36 months,16.39%,MORTGAGE,3892.75,690,11,8332
5169,6000,11.48%,36 months,18.20%,MORTGAGE,5031.67,705,9,50935
29812,8000,13.49%,36 months,14.92%,RENT,5000,685,18,4786
56991,15000,18.25%,36 months,9.73%,MORTGAGE,5000,660,11,14596
62537,7000,17.77%,36 months,32.25%,RENT,3333.33,665,12,35604
22858,8400,6.92%,36 months,13.30%,RENT,3000,745,9,6998
78602,15000,7.90%,36 months,18.62%,MORTGAGE,4500,740,10,17212
93778,15000,14.33%,36 months,13.30%,RENT,5000,665,7,11368
87504,2800,10.16%,36 months,12%,RENT,2083.33,695,7,7261
92105,7750,16.29%,36 months,26.74%,MORTGAGE,2916.67,680,18,17102
59387,4500,8.90%,36 months,18.18%,RENT,2166.67,700,8,5361
6067,17500,12.53%,36 months,21.63%,RENT,3666.67,715,7,20010
62445,18000,15.31%,60 months,4.93%,RENT,5258.5,710,6,11596
35834,15000,15.27%,60 months,17.90%,MORTGAGE,2748,720,14,7956
24320,6000,15.23%,36 months,19.57%,OWN,4583.33,665,13,8077
68821,11500,11.14%,36 months,28.25%,RENT,2750,700,6,9079
96988,10000,13.11%,36 months,7.56%,RENT,2500,685,8,10906
47002,12000,8.90%,36 months,12.46%,RENT,5000,725,5,13940
53897,10000,12.12%,36 months,18.40%,MORTGAGE,5000,685,7,13202
40136,35000,21.28%,60 months,18.21%,RENT,7916.67,680,8,19789
14952,7200,10.38%,60 months,17.97%,RENT,3000,750,7,2753
40856,4000,7.90%,60 months,4.48%,OWN,4000,800,16,6696
4938,5300,11.14%,36 months,8.47%,MORTGAGE,8333.33,740,5,73258
59272,1200,7.62%,36 months,8.69%,MORTGAGE,3833.33,730,14,350
80512,2500,11.14%,36 months,10.08%,RENT,4333.33,720,4,4922
82071,17000,14.33%,36 months,26.35%,OWN,7500,700,21,39130
90748,16000,7.90%,36 months,12.30%,MORTGAGE,8416.67,695,14,21913
42319,10000,12.69%,36 months,3.80%,MORTGAGE,6666.67,695,8,7967
81914,5000,10.16%,36 months,24.50%,MORTGAGE,6250,700,9,33705
97954,4375,19.05%,36 months,9.09%,RENT,2916.67,670,9,6944
41074,8500,6.03%,36 months,12.33%,MORTGAGE,6100,745,17,6370
30600,12000,16.89%,60 months,15.24%,MORTGAGE,7500,675,14,28589
4909,6200,8.59%,36 months,19.10%,RENT,5000,740,17,9367
63340,7000,18.49%,36 months,18.90%,MORTGAGE,2000,660,10,7315
35313,20800,12.69%,60 months,7.08%,MORTGAGE,6541.67,730,9,13197
45225,19200,13.11%,60 months,3.45%,MORTGAGE,8333.33,745,14,50625
98090,22000,15.80%,60 months,21.32%,MORTGAGE,5416.67,700,9,10267
71142,15000,19.05%,36 months,24.88%,RENT,6000,675,12,12162
5282,7000,19.47%,36 months,17.08%,RENT,5000,665,11,13859
52333,20000,8.90%,36 months,17.08%,RENT,4916.67,730,10,14952
15274,2000,6.17%,36 months,18.35%,RENT,5733.58,745,9,21998
32037,18000,10.59%,60 months,15.03%,MORTGAGE,4000,755,9,6718
6528,20800,11.48%,36 months,21.77%,OWN,11666.67,790,6,682
10487,9000,7.88%,36 months,14.51%,MORTGAGE,5708.33,725,9,12217
64690,6000,14.09%,36 months,22.50%,RENT,2666.67,670,18,5955
66605,5000,15.80%,36 months,34.20%,RENT,3750,665,18,5414
18512,12000,14.83%,60 months,22.31%,RENT,4186,685,9,9398
1173,7000,8.00%,36 months,6.36%,MORTGAGE,7583.33,750,9,21135
22150,6000,10.00%,36 months,8.74%,MORTGAGE,15416.67,715,9,105730
104008,17000,13.98%,36 months,17.65%,MORTGAGE,9166.67,700,14,16230
4665,12000,8.94%,36 months,18.99%,RENT,4750,750,13,25577
43053,16350,7.90%,36 months,25.03%,OWN,4541.67,730,7,25731
59192,20000,7.90%,36 months,20.04%,MORTGAGE,4625,755,14,31335
80538,12300,12.12%,36 months,10.01%,RENT,6583.33,690,15,12450
78519,4800,13.11%,36 months,4.61%,RENT,2666.67,690,3,7911
48236,14500,7.90%,36 months,11.96%,RENT,4500,735,8,16398
51833,4200,8.90%,36 months,10.43%,MORTGAGE,2254,700,7,4490
69446,22250,14.09%,36 months,32.10%,MORTGAGE,6583.33,690,18,44868
18161,8000,14.09%,36 months,7.68%,RENT,25000,675,6,28579
78856,8325,17.77%,36 months,20.75%,RENT,2000,665,7,7676
48412,14000,13.11%,36 months,8.12%,OWN,10416.67,730,4,4776
60192,9000,10.16%,36 months,3.98%,MORTGAGE,6000,705,6,5659
97275,16000,13.11%,36 months,17.61%,MORTGAGE,6083.33,680,13,15148
103218,15200,11.14%,36 months,14.50%,MORTGAGE,7916.67,760,7,217827
39722,24000,10.65%,36 months,14.80%,RENT,3750,725,5,24708
54880,16450,15.31%,36 months,11.66%,MORTGAGE,6666.67,685,8,12697
81508,7500,12.12%,36 months,26.56%,MORTGAGE,5000,710,8,9047
98671,4750,22.47%,36 months,24.45%,RENT,1333.33,665,9,4752
80765,6500,7.90%,36 months,12.56%,RENT,6750,720,17,33229
103835,5500,18.67%,60 months,17.71%,RENT,1750,660,6,4492
59041,9600,6.03%,36 months,7.52%,MORTGAGE,6250,750,7,765
62747,12000,12.12%,36 months,31.34%,OWN,4166.67,710,21,28703
34051,2000,7.51%,36 months,16.73%,RENT,1500,730,5,2925
99360,18000,24.89%,60 months,14.88%,RENT,4000,665,10,7377
79126,5825,12.12%,36 months,4%,OWN,3750,690,4,5643
103249,2500,15.31%,36 months,22.81%,RENT,2530,670,7,5276
43700,7200,19.91%,60 months,2%,RENT,5500,660,13,2130
83155,8000,14.33%,36 months,11.85%,RENT,3941.58,670,15,9660
16446,25000,20.77%,60 months,19.12%,MORTGAGE,6000,665,17,12757
84110,2500,14.09%,36 months,20.95%,RENT,2666.67,665,9,15787
2807,20000,12.84%,36 months,1.49%,MORTGAGE,3500,750,6,1954
94386,6250,13.11%,36 months,28.61%,RENT,1779.17,720,19,7455
49074,12375,13.67%,36 months,22.42%,MORTGAGE,2083.33,680,8,12226
88558,18000,10.16%,36 months,16.71%,MORTGAGE,6666.67,685,16,19850
31714,3300,6.99%,36 months,20.04%,RENT,3333.33,760,10,0
68991,21000,18.49%,60 months,16.40%,MORTGAGE,8833.33,700,11,29293
75034,24575,16.29%,36 months,19.60%,MORTGAGE,5250,695,8,20858
4532,5000,7.74%,36 months,14.40%,RENT,5166.67,750,8,15489
67649,20000,16.29%,36 months,23.59%,MORTGAGE,5833.33,680,14,12696
34983,13250,6.62%,36 months,28.64%,MORTGAGE,5750,750,12,7174
4168,10000,8.59%,36 months,2.85%,MORTGAGE,10167,790,9,16
13020,20000,10.75%,36 months,11.37%,RENT,8416.67,740,10,12283
28402,10000,8.49%,36 months,13.58%,MORTGAGE,4166.67,715,8,8455
82112,12000,12.12%,36 months,14.66%,MORTGAGE,5000,710,11,13235
74368,8000,7.90%,36 months,12.54%,MORTGAGE,3500,725,8,6834
5838,11000,8.94%,36 months,22.38%,MORTGAGE,4200,760,6,8694
24085,12500,7.49%,36 months,14.07%,RENT,8237.5,730,15,13261
102519,7500,11.03%,36 months,11.41%,MORTGAGE,3750,685,15,5148
85220,4825,10.16%,36 months,14.89%,RENT,2400,705,14,6109
29422,7550,16.89%,36 months,21.94%,RENT,2880,670,2,1989
12751,8000,14.35%,36 months,20.35%,RENT,4000,675,7,2082
96028,6000,14.09%,36 months,15.72%,RENT,5083.33,670,11,10373
104202,8000,15.57%,60 months,2.38%,RENT,5291.67,700,4,1252
10096,3000,14.59%,36 months,24.20%,MORTGAGE,5000,665,6,5527
51445,8000,16.29%,36 months,15.76%,RENT,3750,665,8,7374
30184,8400,5.99%,36 months,8.70%,OWN,3000,750,6,6215
48402,35000,14.65%,36 months,12.20%,MORTGAGE,14166.67,720,7,103354
50781,15000,7.90%,36 months,21.54%,OWN,5000,730,8,21555
8378,7500,10.99%,36 months,7.51%,MORTGAGE,7083.33,800,9,2245
16672,24000,9.62%,60 months,17.41%,RENT,7695.08,805,6,1502
56643,21000,20.50%,60 months,18.42%,MORTGAGE,8083.33,680,11,31080
65889,6000,7.62%,36 months,9.33%,RENT,8315.67,730,8,6239
18439,4500,6.91%,36 months,0.58%,MORTGAGE,65000,725,7,3015
79217,29000,17.77%,36 months,15.70%,RENT,7666.67,695,11,23319
83672,20000,15.31%,36 months,27.35%,RENT,5250,690,11,11343
97016,7000,10.16%,36 months,10.76%,MORTGAGE,4341.67,695,11,13638
16867,5000,10.36%,36 months,0.51%,RENT,2916.67,715,2,165
73664,6000,17.27%,36 months,6.91%,MORTGAGE,4025.67,665,6,6652
42222,10000,15.27%,36 months,4.02%,RENT,4480,670,9,7614
24026,3200,17.49%,36 months,1.37%,RENT,2917,665,4,1427
68139,23000,17.77%,36 months,25.84%,MORTGAGE,6625,685,17,19870
101715,5000,11.54%,36 months,10.36%,RENT,3416.67,670,17,15301
32974,3000,12.69%,36 months,3.12%,RENT,2083.33,715,3,844
19091,12000,10.74%,60 months,17.63%,RENT,3500,715,11,18808
57072,20000,13.99%,60 months,31.20%,RENT,4166.67,720,9,8810
82788,1200,15.80%,36 months,27.14%,RENT,2166.67,665,9,9076
33093,8000,6.62%,36 months,4.90%,MORTGAGE,3000,780,5,6084
28534,10000,16.49%,60 months,17.70%,MORTGAGE,5416.67,705,10,41329
22444,11000,13.06%,36 months,22.42%,MORTGAGE,7916.67,690,9,34314
95117,18000,16.29%,36 months,17.62%,MORTGAGE,5250,670,11,9379
30817,24000,17.49%,60 months,8.96%,RENT,5000,705,4,323
84180,8000,18.75%,60 months,9.92%,MORTGAGE,5002.33,675,7,8421
35299,6000,11.71%,36 months,21.45%,RENT,3100,685,18,10426
99867,35000,17.27%,36 months,22.74%,RENT,6750,675,15,24626
16487,1000,10.36%,36 months,0%,MORTGAGE,1800,730,2,0
84283,10000,15.31%,36 months,27.71%,RENT,3750,680,19,19385
83786,6000,15.80%,36 months,7.94%,RENT,5000,670,7,14784
85172,4000,6.03%,36 months,13.03%,RENT,2916.67,750,7,2860
41190,20000,11.71%,60 months,10.98%,MORTGAGE,5416.67,745,10,20836
57127,24000,19.99%,60 months,3.48%,RENT,8333.33,690,8,8224
70843,8000,14.09%,36 months,14.31%,RENT,3500,690,7,5074
73060,12000,6.62%,36 months,13.88%,MORTGAGE,7125,775,15,20639
88845,17600,8.90%,36 months,16.58%,MORTGAGE,4166.67,750,8,235
1031,5000,12.92%,36 months,16.29%,RENT,3333,665,11,14244
14556,8000,18.67%,60 months,5.56%,RENT,2500,660,5,5770
8549,10000,9.88%,36 months,17.04%,MORTGAGE,4500,730,8,6948
61042,16800,6.62%,36 months,3.87%,OWN,16083.33,800,5,13470
13096,6500,10.38%,60 months,6.86%,MORTGAGE,2738.67,755,10,2345
70987,35000,7.90%,36 months,20.70%,MORTGAGE,12083.33,790,10,28864
70752,9950,14.33%,36 months,4.19%,MORTGAGE,4800,685,9,5038
35935,5000,9.91%,36 months,28.77%,RENT,3166.67,750,3,0
68413,10000,19.05%,60 months,28.39%,RENT,3726.67,695,23,10067
74613,6000,13.11%,36 months,19.97%,MORTGAGE,5833.33,685,6,5523
82673,35000,7.90%,36 months,20.27%,MORTGAGE,12083.33,770,15,35242
56341,5600,7.90%,36 months,16.54%,RENT,1916.67,705,8,3373
32601,17000,7.90%,36 months,6.43%,RENT,6250,795,4,1352
25674,15000,12.99%,60 months,17.45%,RENT,5666.67,715,13,10855
73376,3000,11.14%,36 months,1.70%,MORTGAGE,7750,685,7,874
89741,12000,17.77%,36 months,9.86%,RENT,3083.33,665,10,4390
33667,25000,14.27%,36 months,14.59%,MORTGAGE,9000,705,11,22364
88438,31075,20.49%,36 months,26.18%,OWN,6000,660,20,27221
77788,4750,14.33%,60 months,23.48%,RENT,1500,740,11,1687
40131,6400,11.71%,36 months,14.88%,RENT,4166.67,680,7,15055
36163,25000,9.91%,36 months,15.38%,RENT,5500,730,9,11395
52543,5000,6.03%,36 months,6.43%,MORTGAGE,12083.33,785,10,792
27201,12000,11.99%,60 months,4.30%,MORTGAGE,3583.33,755,5,3942
60064,20000,19.72%,36 months,13.74%,MORTGAGE,7965,665,18,18809
39439,10000,15.96%,36 months,13.09%,RENT,4416.67,665,9,23870
98321,9750,20.49%,36 months,10.55%,RENT,3033.33,660,13,8688
61683,10000,14.09%,36 months,15.02%,MORTGAGE,6000,685,13,8178
101987,3000,10.46%,36 months,4.34%,OWN,4350,680,3,8414
81939,25000,19.72%,60 months,1.31%,MORTGAGE,5666.67,700,6,92
9885,5000,14.22%,36 months,18.73%,MORTGAGE,8583,670,9,8097
19235,6500,5.79%,36 months,22.84%,MORTGAGE,6400,730,11,7435
73893,8325,15.31%,36 months,15.22%,RENT,2916.67,670,13,7171
65788,20000,15.31%,60 months,13.94%,MORTGAGE,8333.33,710,15,22246
70001,12000,12.12%,36 months,20.32%,MORTGAGE,5166.67,710,9,10054
14243,9500,10.38%,60 months,13.64%,MORTGAGE,5000,755,10,46358
16597,12000,5.79%,60 months,22.13%,MORTGAGE,4166.67,780,12,14464
14355,7200,11.49%,60 months,16.78%,RENT,2944,715,11,5459
85461,8500,10.16%,36 months,11.23%,MORTGAGE,6091.83,710,18,10568
76503,17475,19.05%,60 months,22.95%,MORTGAGE,4583.33,685,13,15852
71743,10000,12.12%,36 months,13.49%,MORTGAGE,3113.83,690,9,6634
66429,18000,22.47%,60 months,1.92%,RENT,4583.33,660,6,4243
18916,4800,5.42%,36 months,20.17%,MORTGAGE,7466.83,785,19,13461
40840,5000,7.90%,36 months,16.44%,MORTGAGE,2298.75,720,10,12346
49985,20000,12.12%,36 months,10.32%,RENT,3750,720,6,15762
91018,12300,15.31%,36 months,19.26%,MORTGAGE,5000,710,13,4460
46016,28000,22.78%,60 months,10.29%,MORTGAGE,6125,675,11,18101
20772,1675,11.11%,36 months,4.81%,RENT,2080,690,4,1466
7006,7500,17.04%,36 months,4.92%,RENT,4000,685,3,8398
17832,9200,12.61%,36 months,15.42%,MORTGAGE,12833.33,675,12,17391
82746,8000,15.80%,36 months,10.76%,MORTGAGE,4583.33,675,13,4084
28147,5000,10.99%,36 months,23.25%,RENT,2000,690,8,8339
46059,19125,18.25%,60 months,15.69%,OWN,3333.33,690,8,7858
29858,5075,5.99%,36 months,20.10%,MORTGAGE,5000,790,9,269
18553,7000,9.62%,36 months,22.69%,MORTGAGE,3275,710,8,14075
72582,5000,12.12%,36 months,16.97%,MORTGAGE,6800,675,16,25524
30718,35000,13.49%,60 months,10.63%,MORTGAGE,15583.33,760,10,9
50460,2225,14.65%,36 months,24.09%,MORTGAGE,3250,670,9,26854
66149,4000,10.16%,36 months,4.58%,RENT,3168,715,5,6916
41523,16000,7.90%,36 months,2.23%,MORTGAGE,7083.33,740,11,3076
76858,15500,17.77%,36 months,27.60%,OWN,3333.33,675,10,8692
91738,16000,13.11%,60 months,14.88%,MORTGAGE,7916.67,695,9,22918
21508,9000,13.06%,60 months,5.74%,RENT,3678.08,710,8,7556
29999,20000,16.49%,60 months,24.58%,MORTGAGE,6000,710,14,12231
17924,20000,18.17%,60 months,9.72%,MORTGAGE,10000,685,8,106527
46748,30000,22.78%,60 months,24.71%,RENT,6041.67,690,12,39144
25426,10000,10.59%,36 months,7.43%,RENT,3833.33,735,3,10187
76810,14000,19.05%,36 months,31.02%,MORTGAGE,5000,660,15,12728
76324,18000,15.31%,60 months,22.93%,RENT,5734.08,710,13,2819
48235,10000,6.62%,36 months,19.05%,MORTGAGE,5208.33,740,8,28302
50533,25975,13.11%,60 months,15.51%,MORTGAGE,4583.33,735,6,3607
79478,10350,14.09%,36 months,20.46%,RENT,3333.33,690,10,10841
88920,10850,17.77%,36 months,33.90%,OWN,2708.33,660,7,9577
28663,4075,5.42%,36 months,23.41%,MORTGAGE,3750,770,6,34103
10761,14500,10.75%,60 months,14.26%,MORTGAGE,3584.62,755,6,18555
71249,.,10.16%,36 months,27.48%,MORTGAGE,5000,710,12,10490
97462,1000,22.95%,36 months,19.78%,RENT,884.9,665,4,5561
101208,5900,13.11%,36 months,14.19%,MORTGAGE,3010,700,8,5921
